"position","organisation","order","current","hidden","from","to","organisation_url","organisation_name"
"Founder","The Psychedelic Society","1","","","2014-11-01","","http://psychedelicsociety.org.uk/","The Psychedelic Society"
"Press officer","Breaking Convention Conference on Psychedelic Consciousness","2","","","2016-04-01","2018-09-01","http://breakingconvention.co.uk/","Breaking Convention Conference on Psychedelic Consciousness"
"Board member","Greenpeace UK","3","","","2013-01-01","2015-07-01","https://www.greenpeace.org.uk/","Greenpeace UK"
"Network organiser","New Economy Organisers Network","4","","","2011-10-01","2013-11-01","http://www.neweconomyorganisers.org/","New Economy Organisers Network"
"Livestreaming & Wellbeing","Extinction Rebellion","5","","true","","","http://rebellion.earth","Extinction Rebellion"
"Co-founder","UK Uncut","6","","true","","","http://facebook.com/ukuncut","UK Uncut"
"Co-founder","The Intruders","7","","true","","","https://www.youtube.com/@WeAreTheIntruders","The Intruders"
"Activist","Camp for Climate Action","8","","true","","","https://en.wikipedia.org/wiki/Camp_for_Climate_Action","Camp for Climate Action"
"Contributor","Enspiral","9","","","","","http://enspiral.com","Enspiral"
"Digital consultancy work for organisations including Supermodular, the New Economics Foundation, 38 Degrees, the Labour Party, the Green Party, 350.org, the Living Wage Foundation, Positive Money, SumOfUs, 10:10 and Brandalism","","10","","true","","","",""
"Co-director","Dandelion Collective","","true","","2020-03-01","","https://dandelion.coop/","Dandelion Collective"
